name, class, memory, x, y, z, roll, pitch, yaw
MFD_Box0,USARBot.WCCrate109779,Pallet1,-0.4579,0.7241,2.0530,-0.0017,0.0000,-1.5825
MFD_Box1,USARBot.WCCrate109779,Pallet1,-0.2448,0.7231,2.0530,-0.0016,0.0003,-1.5827
MFD_Box2,USARBot.WCCrate109779,Pallet1,-0.0379,0.7225,2.0531,0.0022,0.0002,-1.5823
MFD_Box3,USARBot.WCCrate109779,Pallet1,0.1711,0.7214,2.0532,0.0041,0.0002,-1.5893
MFD_Box5,USARBot.WCCrate83774,Pallet1,-0.4874,0.2824,2.0530,-0.0039,-0.0000,-1.5841
MFD_Box6,USARBot.WCCrate109779,Pallet1,-0.3389,0.2840,2.0531,0.0017,0.0003,-1.5787
MFD_Box7,USARBot.WCCrate109779,Pallet1,-0.1542,0.2844,2.0529,0.0003,0.0005,-1.5796
MFD_Box8,USARBot.WCCrate109779,Pallet1,0.0310,0.2869,2.0530,-0.0009,0.0003,-1.5869
MFD_Box9,USARBot.WCCrate109779,Pallet1,0.2068,0.2860,2.0531,0.0000,0.0007,-1.5822
MFD_Box11,USARBot.WCCrate91949,Pallet1,-0.4198,0.8398,1.9462,-0.0001,0.0000,-3.1349
MFD_Box12,USARBot.WCCrate91949,Pallet1,-0.4203,0.7167,1.9461,-0.0012,0.0001,-3.1316
MFD_Box13,USARBot.WCCrate91949,Pallet1,-0.4198,0.5923,1.9460,0.0000,0.0000,-3.1356
MFD_Box14,USARBot.WCCrate91949,Pallet1,-0.1782,0.8396,1.9462,-0.0006,0.0015,-3.1312
MFD_Box15,USARBot.WCCrate91949,Pallet1,-0.1779,0.7168,1.9461,-0.0013,0.0010,-3.1297
MFD_Box16,USARBot.WCCrate91949,Pallet1,-0.1843,0.5919,1.9459,-0.0015,0.0012,-3.1289
MFD_Box17,USARBot.WCCrate91949,Pallet1,0.0627,0.8396,1.9468,0.0004,0.0032,-3.1274
MFD_Box18,USARBot.WCCrate91949,Pallet1,0.0644,0.7165,1.9466,0.0000,0.0016,-3.1274
MFD_Box19,USARBot.WCCrate91949,Pallet1,0.0569,0.5916,1.9462,0.0001,0.0027,-3.1296
MFD_Box20,USARBot.WCCrate91949,Pallet1,0.3038,0.8393,1.9466,-0.0023,-0.0006,-3.1342
MFD_Box21,USARBot.WCCrate91949,Pallet1,0.3041,0.7169,1.9464,-0.0016,-0.0001,-3.1341
MFD_Box22,USARBot.WCCrate91949,Pallet1,0.2920,0.5942,1.9461,-0.0012,-0.0002,-3.1311
MFD_Box23,USARBot.WCCrate91949,Pallet1,-0.4285,0.4011,1.9462,-0.0017,0.0014,-3.1279
MFD_Box24,USARBot.WCCrate91949,Pallet1,-0.1722,0.4219,1.9462,-0.0000,0.0000,-3.1209
MFD_Box25,USARBot.WCCrate91949,Pallet1,0.0858,0.4348,1.9463,-0.0013,0.0003,-3.1414
MFD_Box26,USARBot.WCCrate91949,Pallet1,-0.4258,0.2868,1.9460,-0.0017,0.0017,-3.1396
MFD_Box27,USARBot.WCCrate91949,Pallet1,-0.1718,0.3044,1.9460,-0.0018,0.0001,3.1364
MFD_Box28,USARBot.WCCrate91949,Pallet1,0.0886,0.3040,1.9461,-0.0013,0.0006,-3.1379
MFD_Box29,USARBot.WCCrate91949,Pallet1,-0.4259,0.1727,1.9457,-0.0015,0.0016,-3.1347
MFD_Box30,USARBot.WCCrate91949,Pallet1,-0.1677,0.1738,1.9458,-0.0014,0.0017,-3.1297
MFD_Box31,USARBot.WCCrate91949,Pallet1,0.0849,0.1727,1.9459,-0.0015,0.0004,-3.1349
MFD_Box32,USARBot.WCCrate91949,Pallet1,0.3359,0.3997,1.9465,-0.0067,0.0016,-3.1350
MFD_Box33,USARBot.WCCrate91949,Pallet1,0.3339,0.2860,1.9462,-0.0013,0.0025,-3.1382
MFD_Box34,USARBot.WCCrate91949,Pallet1,0.3451,0.1716,1.9459,0.0003,0.0015,-3.1275
MFD_Box35,USARBot.WCCrate109779,Pallet1,-0.4576,0.7229,1.8386,-0.0003,0.0003,-1.5834
MFD_Box36,USARBot.WCCrate109779,Pallet1,-0.2798,0.7239,1.8385,-0.0003,0.0005,-1.5768
